,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
15708,,,,"Give us a short title for the work you wish us to support

We may use this on our website and elsewhere if your application is
successful",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,865,,0.44,&&&,,,,,,,,,,,
15709,,,,"Below, please
respond to the principle(s) that are most relevant to your work. If
there are principle(s) that are not applicable, please leave the
response box blank",What the Organization Does,What the Organization Does,What the Organization Does,,866,,0.44,&&&,,,,,,,,,,,
15713,,,,"Please check any of the following approaches that your organization currently uses to promote
racial equity and describe in the box below",What the Organization Does,What the Organization Does,What the Organization Does,,868,,0.44,&&&,,,,,,,,,,,
15714,,,,"Describe your request, how it fits within your overall organizational strategy, and how it relates
to the community opportunity described below",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,869,,0.44,&&&,,,,,,,,,,,
15715,Implementation Plan,,,"How do you propose to address the need or opportunity described above? 

Explain why you feel this is the best approach.

Please include a bulleted list of activities to take place each quarter or a timeline, as appropriate.",Requested grant funding,What the Organization Does,What the Organization Does,,870,,0.44,&&&,,,,,,,,,,,
15716,,,,"By checking this box, you are stating that you understand the date of events or fiscal year in
your application start on or after the above mentioned dates for the cycle in which you are
applying. Applications with project event start dates before the above mentioned dates will not
be considered",miscellaneous,miscellaneous,miscellaneous,,871,,0.44,&&&,,,,,,,,,,,
15717,,,,"IF YOU WOULD LIKE TO, PROVIDE A LINK TO A VIDEO (YOUTUBE, FACEBOOK, YOUR
WEBSITE, ETC.) ABOUT THE PROPOSED PROJECT OR YOUR ORGANIZATION",miscellaneous,What the Organization Does,What the Organization Does,,872,,0.44,&&&,,,,,,,,,,,
15718,Project Proposal,,,"If you have one available, please upload your project proposal document.",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,873,,0.44,&&&,,,,,,,,,,,
15719,,,,"Are you operating under a current strategic plan? Please include a link to the plan below, if possible. Alternatively, you could attach an electronic copy of the plan on the Attachments page of this application",What the Organization Does,What the Organization Does,What the Organization Does,,874,,0.44,&&&,,,,,,,,,,,
15720,,,,"Please upload any additional documents (i.e., organizational chart, strategic plan, logic model, evaluation reports, additional narrative proposal, etc.) if you feel that the
information would be helpful in understanding your organization. This is entirely optional",miscellaneous,miscellaneous,miscellaneous,,875,,0.44,&&&,,,,,,,,,,,
15721,5. ADDITIONAL INFO & SUBMISSION INSTRUCTIONS ADDITIONAL MATERIALS,,,Feel free to use the space below to upload a document or list of links to any additional information that you believe is relevant to your request or tells your organization's story.,miscellaneous,miscellaneous,miscellaneous,,876,,0.44,&&&,,,,,,,,,,,
15726,,,,Please attach relevant documentation below,miscellaneous,miscellaneous,miscellaneous,,879,,0.44,&&&,,,,,,,,,,,
15727,,,,"Upload any additional attachments here that would be helpful for us
    as we review your request",miscellaneous,miscellaneous,miscellaneous,,880,,0.44,&&&,,,,,,,,,,,
15728,,,,Upload additional attachments if specified in RFP,miscellaneous,miscellaneous,miscellaneous,,881,,0.44,&&&,,,,,,,,,,,
15731,Compliance Questions - Additional Information Additional Detail,,,"Please provide further details on your Conflict of Interest, Outstanding Obligation and/or Contingency, or Ongoing Investigation",Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,883,,0.44,&&&,,,,,,,,,,,
15734,,,,"ARE YOU CURRENTLY BEING FUNDED BY THE COMMUNITY FOUNDATION FOR A GRANT
AND HAVE NOT YET SUBMITTED THE CORRESPONDING FINAL REPORT","organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,885,,0.44,&&&,,,,,,,,,,,
15735,,,,"If this is not a new effort, did you receive funding for this project/program from the Foundation last year",requested grant funding,requested grant funding,Requested Grant Funding Related,,886,,0.44,&&&,,,,,,,,,,,
15736,,,,"If selected for funding, do you plan to publish any of the findings resulting from this
grant in a peer-reviewed journal","data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,887,,0.44,&&&,,,,,,,,,,,
15737,,,,Will You Commit to Providing a Public Version of the Dream Book to Be Referenced by Other Nonprofits and Published on <REDACTED> Solutions Center,miscellaneous,miscellaneous,miscellaneous,,888,,0.44,&&&,,,,,,,,,,,
15738,,,,WOULD YOU LIKE THE FOUNDATION TO SHARE YOUR APPLICATION WITH OTHER POTENTIAL DONORS,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,889,,0.44,&&&,,,,,,,,,,,
15739,,,,Permission to share with donors & other funders,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,890,,0.44,&&&,,,,,,,,,,,
15746,,"Reviewers will review the videos for content, not for production value. To be clear, this video is not expected to be of professional quality; we prefer seeing a new video made on a smartphone versus a higher quality video made for another purpose. Please either insert a URL address from YouTube or Vimeo or upload the video here.",,"You have the option to supplement the information provided in your
application by making and submitting a brief video (maximum 60 seconds) in which you introduce yourself and describe your initiative. You can also use the video to answer the optional question, ""Is there any other information not captured elsewhere regarding your organization, initiative, community served, or anything else that you believe will help in our evaluation of your request?",requested grant funding,requested grant funding,Requested Grant Funding Related,,893,,0.44,&&&,,,,,,,,,,,
15751,,,,"To share your contact details with other organisations that we think
  would benefit your organisation",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,896,,0.44,&&&,,,,,,,,,,,
15752,,,,"Do You Share Information with Other Agencies? If so, Who",Partnership and Community,"Data Handling, Overview, Measurement, Evaluation and Reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,897,,0.44,&&&,,,,,,,,,,,
15759,,,,"We invite you to provide any additional information here that would
    be helpful for us as we review your request",miscellaneous,miscellaneous,miscellaneous,,901,,0.44,&&&,,,,,,,,,,,
15760,,,,"ANYTHING ELSE? | IS THERE ANYTHING ELSE YOU’D LIKE TO TELL US ABOUT YOUR
ORGANIZATION AND ITS WORK THAT WE DIDN’T GIVE YOU A CHANCE TO SHARE
ELSEWHERE IN THIS PROPOSAL",miscellaneous,miscellaneous,miscellaneous,,902,,0.44,&&&,,,,,,,,,,,
15761,_FEEDBACK SECTION_ SUGGESTIONS,,,"WE WANT TO HEAR FROM YOU AND STRIVE TO IMPROVE. LET US KNOW WHAT YOU WOULD CHANGE AND PROVIDE ANY ADDITIONAL COMMENTS.  PLEASE TYPE ""N/A"" IF YOU HAVE NO SUGGESTIONS.",Miscellaneous,Miscellaneous,Miscellaneous,,903,,0.44,&&&,,,,,,,,,,,
15762,"ABOUT THIS SAMPLE We understand grantseekers need to use many different online portals hosted by many different grantmakers. To help connect the Fund’s requirements to your process, we offer this sample project proposal for you to use to prepare a proposal for us. Review below to see what you’ll be asked for in our online grantseeker portal. You can put your answers in this document, sharing with colleagues as you see fit. When you’re ready, log in to cut and paste where appropriate. Please note that - Some parts of the project support proposal allow you to PICK FROM A LIST of prepared options or CLICK TO UPLOAD instead of cutting and pasting. - Cutting and pasting from Word may result in unexpected characters in the online application. Check your work!",,,Questions about this sample or suggestions for improvement? Please email us at grantsmanager@<REDACTED>,Miscellaneous,Miscellaneous,Miscellaneous,,904,,0.44,&&&,,,,,,,,,,,
15763,,We welcome any comments or questions you might have.,,"DO YOU HAVE ANY COMMENTS OR QUESTIONS? IF YES, PLEASE ENTER THEM HERE",Miscellaneous,Miscellaneous,Miscellaneous,,905,,0.44,&&&,,,,,,,,,,,
15764,INTERNAL Alert/Special Handling,,,Any comments you enter here will be shown at the top of the request as an internal alert.,Miscellaneous,Miscellaneous,Miscellaneous,,906,,0.44,&&&,,,,,,,,,,,
15765,,,,"If you wish to leave anonymous feedback on how we might improve our application process
please visit GrantAdvisor.org",Miscellaneous,Miscellaneous,Miscellaneous,,907,,0.44,&&&,,,,,,,,,,,
15766,,,,We value your feedback. Please take a few minutes to anonymously review your experience with <REDACTED> Family Foundation at www.GrantAdvisor.org,Miscellaneous,Miscellaneous,Miscellaneous,,908,,0.44,&&&,,,,,,,,,,,
15767,,,,"Would you like to be added to our mailing list and be notified of future
funding opportunities",miscellaneous,miscellaneous,miscellaneous,,909,,0.44,&&&,,,,,,,,,,,
15768,,,,"<REDACTED> FOUNDATION WILL CONVENE DISCIPLINE-SPECIFIC PANELS TO REVIEW THE
APPLICATIONS. WHICH DISCIPLINE DO YOU PREFER? IF YOUR PROGRAM SUPPORTS
MULTIPLE DISCIPLINES, YOU MAY REQUEST ONE ADDITIONAL PANEL FOR POTENTIAL
REVIEW",partnership and Community,partnership and Community,Collaborative Partnerships and Community Support,,910,,0.44,&&&,,,,,,,,,,,
15769,"Under General Data Protection Regulations (GDPR), your email address is considered personal data. Are you willing to give consent to the following (both are optional):",,,"<REDACTED> to share <REDACTED> related non-grant information with you (e.g. <REDACTED> e- newsletter, details on training etc)",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,911,,0.44,&&&,,,,,,,,,,,
15770,,,,"If you are unable to access the hyperlinks in this application, let us
know and we will email you information about the <REDACTED>",Miscellaneous,Miscellaneous,Miscellaneous,,912,,0.44,&&&,,,,,,,,,,,
15771,,,,"By submitting your application, you agree to the <REDACTED> Fund
Application Terms and Conditions",miscellaneous,miscellaneous,miscellaneous,,913,,0.44,&&&,,,,,,,,,,,
15772,"_ELIGIBILITY CRITERIA_ Please carefully review the information about this funding opportunity on our website to confirm if you are eligible to apply for this funding opportunity. The <REDACTED> Fund will NOT consider the following for funding: 1. Incremental expansion of existing programs (e.g., increasing the number of a program’s participants). 2. Programs designed in isolation, without meaningful employer or worker engagement. 3. One-off programs with limited potential for learnings that could be shared more broadly and lead to system change and/or replication. 4. Research projects without actionable recommendations, dissemination and stakeholder engagement activities. 5. Scholarships and grants to individuals.",,,-   Please click here to confirm that funds will not be used for the above listed activities.,requested grant funding,requested grant funding,Requested Grant Funding Related,,914,,0.44,&&&,,,,,,,,,,,
