left_context,question,right_context,identifier
"CEO, PRESIDENT OR EXECUTIVE DIRECTOR OF ORGANIZATION",Direct Phone,,605
,What impact will you have,,636
,Please upload your budget narrative _(upload in grant portal),,5738
,"Describe the opportunities and challenges that your application
    addresses and your proposed solution",,623
,"PROVIDE INFORMATION ON THE DEMOGRAPHIC COMPOSITION (RACE/ETHNICITY,
GENDER, ETC.) OF YOUR ORGANIZATION'S BOARD",,13719
,"WHAT IS YOUR DEFINITION OF EARLY CAREER AND HOW DO YOU DETERMINE WHETHER
AN ARTIST IS EARLY CAREER/EMERGING",,13654
,DESCRIBE YOUR HISTORY OF SUPPORT FOR EARLY CAREER ARTISTS,,13714
DETAILED PROGRAM BUDGET,"Please upload a PDF of a detailed program budget that includes
  information on the number of artists served, direct payments to
  artists, services to artists and institutional support.",,13642
,KEY CONTACTS,,13622
,KEY PROGRAM STAFF RESUMES/CVS,,13638
,DESCRIBE YOUR KEY STAFF'S STRENGTHS IN WORKING WITH EARLY CAREER ARTISTS,,13635
ARTIST SELECTION PROCESS HOW ARE ARTISTS SELECTED FOR THIS PROGRAM(S)?,IF VIA AN OPEN CALL,,13662
,FEDERAL ID/EIN,,13727
,"HOW DOES THE PROGRAM(S) FOR WHICH YOU ARE REQUESTING SUPPORT ADDRESS THE
NEEDS OF EARLY CAREER ARTISTS",,13630
,CALL FOR SUBMISSIONS/ARTIST GUIDELINES (IF AVAILABLE),,13670
,"PLEASE LIST THE EARLY CAREER ARTISTS SUPPORTED IN THIS PROGRAM OVER THE
LAST THREE YEARS AND TALK ABOUT THE IMPACT OF THE PROGRAM ON THEIR
CAREERS",,13632
,AUTHORIZATION LETTER,,13730
,NUMBER OF EARLY CAREER ARTISTS PER YEAR TO BE SERVED BY THE PROGRAM,,13629
,"If yes, enter Fiscal Sponsor Organization Name",,13597
,HOW DOES THE PROGRAM SUPPORT YOUR ORGANIZATIONAL MISSION,,13633
,FISCAL SPONSOR AUTHORIZATION LETTER,,13753
,IF BY NOMINATIONS OR CURATORIAL PROCESS,,13663
,TOTAL AMOUNT REQUESTED FROM <REDACTED> FOUNDATION,,13603
,"STAFF, AND PROGRAM
PARTICIPANTS—AND HOW THIS REFLECTS YOUR COMMUNITY AND CONNECTS WITH YOUR
MISSION",,13720
,NAME OF PROGRAM(S) FOR WHICH SUPPORT IS REQUESTED,,13599
,FISCAL SPONSOR ADDRESS,,13744
,TOTAL STAFF SIZE (IN FTE AND PTE),,13716
,"<REDACTED> FOUNDATION WILL CONVENE DISCIPLINE-SPECIFIC PANELS TO REVIEW THE
APPLICATIONS. WHICH DISCIPLINE DO YOU PREFER? IF YOUR PROGRAM SUPPORTS
MULTIPLE DISCIPLINES, YOU MAY REQUEST ONE ADDITIONAL PANEL FOR POTENTIAL
REVIEW",,13615
,FISCAL SPONSORSHIP KEY CONTACTS,,13743
,ARTIST INFORMATION AND WORK SAMPLES,,13680
,FISCAL SPONSOR CURRENT AUDIT,,13749
,FISCAL SPONSOR FEDERAL ID/EIN,,13745
,"Do you use a panel, artistic staff, or a combination of both",,13677
,DESCRIBE THE FINANCIAL HEALTH OF YOUR ORGANIZATION,,13740
,"DESCRIBE HOW YOUR ORGANIZATION, AND THE PROGRAM(S) FOR WHICH SUPPORT IS
REQUESTED, EMBRACE THE VALUES OF DIVERSITY, INNOVATION, AND/OR HUMILITY
THAT GUIDE <REDACTED> FOUNDATION’S GRANTMAKING",,13717
,PROGRAM SCHEDULE OF ACTIVITIES,,13640
,DETAILED PROGRAM DESCRIPTION,,13625
,BOARD OF DIRECTORS LIST,,13722
,FINANCIAL STATEMENT FOR THE LAST THREE YEARS,,13738
,APPLICATION SUBMITTED,,13592
,FISCAL YEAR DATES,,13728
,Video Link (YouTube or Vimeo),,13688
,ARTISTIC DISCIPLINE(S) SUPPORTED BY THE PROGRAM(S),,13605
,PROGRAM EXPENSES,,13647
,WHAT ARE YOUR SELECTION CRITERIA,,13656
,ORGANIZATION WEBSITE URL,,13726
,HOW MANY APPLICANTS HAVE YOU RECEIVED IN THE LAST TWO ROUNDS OF THIS PROGRAM,,13666
,FISCAL SPONSOR BOARD OF DIRECTORS LIST,,13751
,PROGRAM SUMMARY,,13600
,ARTIST INFORMATION & WORK SAMPLES,,13678
,ARTIST 1 WORK SAMPLE DESCRIPTION,,13685
,IRS LETTER OF DETERMINATION,,13724
,FISCAL SPONSOR IRS LETTER OF DETERMINATION,,13746
,Audio Link (Soundcloud),,13689
,HOW ARE ARTISTS SELECTED FOR THIS PROGRAM(S),,13658
,IS THERE AN APPLICATION SUBMISSION FEE OR MEMBERSHIP REQUIREMENT TO APPLY FOR THE PROGRAM,,13671
,"WHO SELECTS THE ARTISTS FOR THE PROGRAM, AND WHAT ARE THEIR QUALIFICATIONS",,13676
,"PLEASE DESCRIBE THE PROCESS AND RATIONALE, INCLUDING INFORMATION ON WHO SELECTS THE ARTISTS AND THEIR QUALIFICATIONS",,13665
,Image Link (Dropbox)†,,13690
,"Text Upload (one PDF file, up to 5 pages)‡",,13692
,Image Upload (up to 5 jpg or png files)‡,,13691
,Text Upload,,13709
,Image Upload,,13707
,"What is the history of this program? When was it started? If it is a
  new program, what compelled you to start it",,13628
,CURRENT AUDIT OR TAX RETURN,,13736
,BUDGET CONTINGENCY PLAN,,13649
,ARTIST 2 WORK SAMPLE DESCRIPTION,,13693
,ARTIST 3 WORK SAMPLE DESCRIPTION,,13701
,ARTIST 1 WORK SAMPLE TYPE,,13687
,ARTIST 3 WORK SAMPLE TYPE,,13703
,PROGRAM INCOME,,13644
,ARTIST COMPENSATION,,13652
,ARTIST 2 WORK SAMPLE TYPE,,13695
,HOW AND WHEN IS THE OPPORTUNITY ANNOUNCED TO ARTISTS,,13664
,LINKS TO ARTISTS’ WEBSITES AND/OR RESUMES,,13682
,CURRENT CDP REPORT,,13733
,Organization Details,,14435
revenue summary,Local Government,,14506
,ORGANIZATION DOCUMENTS,,14546
revenue summary,State Government,,14507
revenue summary,Federal Government,,14508
,Long-Term Objectives,,14525
revenue summary,TOTAL TO-DATE,,14518
,"How do the operating expenses if requested, relate to your project",,14483
,How do the program expenses relate to your project,,14485
,How did you calculate the program expenses,,14486
,How did you calculate the operating expenses,,14484
,How will you monitor and track the objectives of the project,,14474
,"What will be lasting effects of this program when the grant period is complete and what indicators are you using to
inform the response",,14473
,What are your impact areas,,14466
,Salaries/Taxes/Benefits,,14492
,List the results of the projects,,14472
,In-Kind Support,,14516
action plan,Output,,14522
,Membership Income,,14515
,Brief Summary of Organization's History (from Organization card),,14440
,Audit Report,,14526
revenue summary,Corporations,,14509
,Do you have a Fiscal Agent (Organization),,14449
revenue summary,Pending,,14505
action plan,Objectives,,14520
revenue summary,Other Earned Amount,,14517
,"In the event the Foundation is unable to meet your full request, please indicate priority items in the proposed grant
budget and alternative plans to cover the amount unmet",,14482
,What populations are being served,,14471
,"Select all the areas that align with the
Foundation's mission",,14467
,Publications & Products,,14514
revenue summary,Individuals,,14511
,What percent of the organization's board members participate in giving annually,,14480
,Short-Term Objectives,,14524
,"Have you received a grant from us in the
past",,14441
,Is this a new or ongoing project,,14468
,Is this a Renewal,,14448
,Project Plan,,14461
,"Operating

Expenses",,14489
revenue summary,Equipment/Supplies,,14494
action plan,Measurements,,14523
,Other Revenue Amount,,14512
,Total Project Costs,,14479
revenue summary,Foundations,,14510
,Grant Submission Date,,14455
,"Names of ""other"" program expenses",,14501
,Full Organizational/Agency Budget,,14542
,"Names of ""other"" operating expenses",,14500
previous grants,ID,,14443
Revenue Data expenditure summary,"Operating Expenses
Salaries/Taxes/Benefits
Travel
Equipment/Supplies
Salaries/Taxes/Benefits
Travel
Equipment/Supplies
Other Expenses
Other Operating Expenses",,14488
,Fiscal Year Start Date,,14459
,Additional Documentation,,14544
,narrative and budget plan summary,,14475
,"List all the ""other"" revenue sources - both pending and committed",,14487
,Other Program Expenses,,14497
,Program Expenses,,14496
,Primary Contact:,,14438
,President/CEO (Signing Authority),,14439
,Request Development Contact,,10304
